M,Scheduling,Chunk,T1,T2,T4,T8,T12,S2,S4,S8
1000,dynamic,0,0.000423,0.000389,0.001125,0.000785,0.000165,1.999155,3.994936,7.976409
1000,dynamic,10,0.000419,0.000207,0.000070,0.000159,0.000220,1.999162,3.994979,7.976608
1000,dynamic,20,0.000455,0.000069,0.000124,0.000089,0.000105,1.999091,3.994549,7.974609
1000,dynamic,30,0.000476,0.000232,0.001958,0.000113,0.000144,1.999049,3.994301,7.973454
1000,dynamic,40,0.000414,0.000085,0.000071,0.000085,0.000149,1.999172,3.995036,7.976874
1000,dynamic,50,0.000473,0.000082,0.000079,0.000088,0.000117,1.999054,3.994327,7.973574
1000,dynamic,60,0.000473,0.000069,0.000156,0.000086,0.000113,1.999054,3.994330,7.973592
1000,dynamic,70,0.000473,0.002849,0.001274,0.000285,0.000146,1.999054,3.994329,7.973584
1000,dynamic,80,0.000547,0.000070,0.002292,0.000111,0.000160,1.998906,3.993443,7.969466
1000,dynamic,90,0.000516,0.000103,0.000077,0.000096,0.000140,1.998968,3.993812,7.971180
1000,dynamic,100,0.000514,0.000086,0.000102,0.000086,0.000165,1.998972,3.993839,7.971308
10000,guided,0,0.011906,0.005515,0.000293,0.000364,0.006850,1.976468,3.862053,7.384546
10000,guided,10,0.009503,0.001601,0.000357,0.000437,0.000655,1.981172,3.889123,7.501014
10000,guided,20,0.016962,0.000463,0.000308,0.000367,0.009412,1.966641,3.806310,7.150931
10000,guided,30,0.010187,0.000546,0.000299,0.000314,0.000376,1.979832,3.881386,7.467519
10000,guided,40,0.010796,0.000492,0.000286,0.002413,0.000616,1.978638,3.874509,7.437888
10000,guided,50,0.012114,0.002935,0.002687,0.000606,0.000641,1.976062,3.859729,7.374642
10000,guided,60,0.011356,0.002164,0.000376,0.000480,0.000497,1.977542,3.868214,7.410880
10000,guided,70,0.012609,0.000507,0.000361,0.000465,0.007861,1.975097,3.854210,7.351178
10000,guided,80,0.009765,0.004514,0.000337,0.000472,0.000405,1.980660,3.886160,7.488168
10000,guided,90,0.010136,0.008247,0.000312,0.006814,0.001166,1.979932,3.881958,7.469993
10000,guided,100,0.009980,0.000574,0.000338,0.000759,0.002200,1.980238,3.883725,7.477627
100000,static,0,0.246989,0.125368,0.059596,0.006817,0.002747,1.603863,2.297573,2.931559
100000,static,10,0.243256,0.003222,0.005621,0.003073,0.002679,1.608680,2.312451,2.959906
100000,static,20,0.236807,0.003179,0.003265,0.003345,0.003093,1.617068,2.338607,3.010181
100000,static,30,0.249548,0.127510,0.041029,0.003134,0.002761,1.600579,2.287487,2.912443
100000,static,40,0.240490,0.004357,0.002642,0.010462,0.003173,1.612267,2.323597,2.981262
100000,static,50,0.237830,0.158387,0.034711,0.083075,0.018138,1.615731,2.334418,3.002093
100000,static,60,0.244866,0.004188,0.002674,0.006219,0.002172,1.606599,2.306011,2.947614
100000,static,70,0.259804,0.004815,0.003353,0.004871,0.003383,1.587548,2.247932,2.838258
100000,static,80,0.257397,0.003264,0.003142,0.057186,0.004467,1.590587,2.257092,2.855327
100000,static,90,0.245246,0.003048,0.004732,0.003365,0.003305,1.606108,2.304495,2.944725
100000,static,100,0.252492,0.128107,0.063075,0.004290,0.003379,1.596816,2.275990,2.890753
